DATAFLOW;LAST UPDATE;freq;unit;sex;frequenc;age;wstatus;geo;TIME_PERIOD;OBS_VALUE
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;ESP;2013;4.3
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;ESP;2014;4.3
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;ESP;2015;3.6
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;ESP;2016;3.5
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;ESP;2017;4.3
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;ESP;2018;4.3
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;ESP;2019;4.8
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;ESP;2020;11.0
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2010;5.1
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2011;5.5
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2012;5.6
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2013;4.9
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2014;4.9
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2015;5.0
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2016;4.8
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2017;5.2
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;EU27_2020;2018;5.3
